hazard,time
0.196537823,2.1
0.39541888,3
0.581630163,4
0.752215413,5
0.901898066,6
0.902353163,6.1
1.049172126,7
1.049699614,7.1
1.179665689,8
1.180266851,8.1
1.301575757,9
1.3022549,9.1
1.40368988,10
1.518297517,11
1.615652272,12
1.728732645,13
1.842151304,14
1.91718145,15
1.918438962,15.1
2.038591834,16
2.113694651,17
2.213304112,18
2.274257552,19
2.346862709,20
2.425120015,21
2.496519025,22
2.585582588,23
2.688751966,24
2.776738285,25
2.853791984,26
2.906426224,27
2.987298281,28
3.07128201,29
3.128637133,30
3.193925864,31
3.288162643,32
3.333627572,33
3.442793972,34
3.472066242,35
3.502241509,36
3.57191959,37
3.625746478,38
3.697435508,39
3.766634836,40
3.79899724,41
3.807254175,42
3.93064164,43
4.018793933,44
4.093120472,45
4.149810582,46
4.209908583,47
4.260675997,48
4.327823816,49
4.327823816,50
4.3849575,51
4.445491325,52
4.543608513,53
4.614572962,54
4.671309673,55
4.690960507,56
4.773521917,57
4.839990511,58
4.911070275,60
5.014457235,61
5.070456274,62
5.099677331,64
5.129677581,65
5.192464349,66
5.294430383,67
5.330867938,68
5.368525105,69
5.407655824,70
5.490733346,72
5.535068686,73
5.581460839,74
5.73513953,77
5.852303415,78
5.852303415,79
5.985031722,84
6.137151435,85
6.222866744,86
6.316617968,91
6.418891666,93
6.532816921,99
6.65957823,104
6.804740498,113
6.974553157,127
7.174553157,131
7.424553157,134
7.75788649,159
7.75788649,165
8.287311262,179
9.287311262,328
