"hazard","time"
0.189543356812714,2.1
0.189759272652163,2.2
0.380958149218533,3
0.381743169958565,3.1
0.559440794204018,4
0.720310139384899,5
0.861869010162124,6
0.862717705949362,6.1
1.00133770491198,7
1.00280364149213,7.1
1.12374200340564,8
1.12429470904418,8.1
1.23709237562493,9
1.238331233815,9.1
1.33246823221168,10
1.33314988213841,10.1
1.43948262161407,11
1.53074030810005,12
1.636776716115,13
1.74196451053495,14
1.81321072248191,15
1.92615380148351,16
2.00300026202442,17
2.09341922573455,18
2.15496724907202,19
2.22715168306203,20
2.30306602703047,21
2.36784902097008,22
2.36976334569898,22.1
2.45151965293779,23
2.54288031468819,24
2.62353117850543,25
2.69513878436566,26
2.76074307529428,27
2.84294135525395,28
2.92237877272767,29
2.97674571526482,30
3.0415168855844,31
3.12668248001982,32
3.17212385120715,33
3.26048965450136,34
3.28860054447023,35
3.33225951409807,36
3.33722356121423,36.1
3.40392340009992,37
3.45825389466168,38
3.52166325659631,39
3.57665516196891,40
3.61503921733617,41
3.63476110999203,42
3.7321806966207,43
3.81584912688765,44
3.88124894155055,45
3.94208870861687,46
3.9878558471989,47
4.05544163771411,48
4.11688333009523,49
4.11688333009523,50
4.17128628285014,51
4.24047682040911,52
4.34009208647317,53
4.42128553387653,54
4.47925559720861,55
4.50948915714966,56
4.57260753833811,57
4.6226316412503,58
4.65731732894047,59
4.74907450958006,60
4.82877660395417,61
4.91515794474965,62
4.93787233618761,63
4.98464976268969,64
5.00874922791746,65
5.05871358226399,66
5.1948468457834,67
5.22428940302238,68
5.25448170760743,69
5.28561396684582,70
5.35085992293544,72
5.38501572342008,73
5.4203793985364,74
5.53465544148045,77
5.6186614113477,78
5.6186614113477,79
5.75980265153892,80
5.92051812181026,84
6.04255350443032,85
6.10964990204591,86
6.18157201430283,91
6.25813869536219,93
6.34105391997981,99
6.43020357982235,101
6.63239954837533,104
6.7496293294586,113
6.88242694606502,127
7.03197448058921,131
7.20781915221411,134
7.4211826597602,159
7.4211826597602,165
7.70444826571736,179
8.07663309417285,185
8.61910349719343,246
9.61910349719343,328
