"hazard","time"
0.0227549320764618,2.1
0.0229698851621806,2.2
0.04582484705156,3
0.0463418232873914,3.1
0.0675445751023258,4
0.0914334187074395,5
0.107928003661104,6
0.108731772061806,6.1
0.12580135025558,7
0.126252747994378,7.1
0.143627405501162,8
0.144126339657499,8.1
0.163837985856309,9
0.164940177912822,9.1
0.174382706211244,10
0.174978435491953,10.1
0.186390846646477,11
0.199497580807923,12
0.216383120569016,13
0.229476992357073,14
0.23789380978211,15
0.251431759206919,16
0.263270753385366,17
0.270668146558679,18
0.276320215310002,19
0.287101841738314,20
0.294733355959348,21
0.3015247763906,22
0.302947559256151,22.1
0.314462732436956,23
0.323561100177934,24
0.331636828552543,25
0.338502319049908,26
0.347659785167707,27
0.349606560288954,28
0.353799279609963,29
0.358223889294045,30
0.358223889294045,31
0.363184749550524,32
0.368445249378142,33
0.368445249378142,34
0.377040939736015,35
0.382860403711118,36
0.385909320524307,36.1
0.392080538491242,37
0.395386557713725,38
0.398805611512007,39
0.402407359140758,40
0.406129771477782,41
0.409993648473232,42
0.417901713203232,43
0.417901713203232,44
0.42242213184645,45
0.431909821714989,46
0.436898221897041,47
0.442014225444224,48
0.442014225444224,49
0.442014225444224,50
0.447673160481941,51
0.453629934205852,52
0.460035151321709,53
0.460035151321709,54
0.460035151321709,55
0.460035151321709,56
0.485357450458052,57
0.485357450458052,58
0.494452923069313,59
0.494452923069313,60
0.504949005759746,61
0.504949005759746,62
0.516933944777392,63
0.516933944777392,64
0.516933944777392,65
0.530505287279718,66
0.544838734922256,67
0.544838734922256,68
0.562076099599175,69
0.562076099599175,70
0.579928935978468,72
0.579928935978468,73
0.579928935978468,74
0.579928935978468,77
0.579928935978468,78
0.579928935978468,79
0.601199418327541,80
0.601199418327541,84
0.601199418327541,85
0.601199418327541,86
0.601199418327541,91
0.601199418327541,93
0.642004495670918,99
0.688324462710349,101
0.688324462710349,104
0.688324462710349,113
0.761033877513233,127
0.761033877513233,131
0.761033877513233,134
0.761033877513233,159
0.761033877513233,165
0.761033877513233,179
0.907327141321391,185
1.16257292951027,246
1.16257292951027,328
