"","beta","d","d_i","a_c","a_i","p_A","p_B","c1","c2","f_cA","f_cB","f_clast","f_isA","f_iaA","r","ts","s_1","s_2","p_c","f_ib_last","cycl_period","alt_cycl_period","cycling","rdt","pS0","pCs0","pCa0","pCb0","pIs0","pIa0","pIb0","N","t"
"596",0.24,9,0.86,0.05,0.002,0.525,0.35,1,1,0.1,0.1,0.03,0.5,0.5,6,-1,0.001,0.001,0.01,0,0,0,0,0,0.95,0.05,0,0,0,0,0,60,5475
"637",0.24,9,0.86,0.05,0.002,0.525,0.375,1,1,0.1,0.1,0.03,0.5,0.5,6,-1,0.001,0.001,0.01,0,0,0,0,0,0.95,0.05,0,0,0,0,0,60,5475
"678",0.24,9,0.86,0.05,0.002,0.525,0.4,1,1,0.1,0.1,0.03,0.5,0.5,6,-1,0.001,0.001,0.01,0,0,0,0,0,0.95,0.05,0,0,0,0,0,60,5475
"719",0.24,9,0.86,0.05,0.002,0.525,0.425,1,1,0.1,0.1,0.03,0.5,0.5,6,-1,0.001,0.001,0.01,0,0,0,0,0,0.95,0.05,0,0,0,0,0,60,5475
"760",0.24,9,0.86,0.05,0.002,0.525,0.45,1,1,0.1,0.1,0.03,0.5,0.5,6,-1,0.001,0.001,0.01,0,0,0,0,0,0.95,0.05,0,0,0,0,0,60,5475
"801",0.24,9,0.86,0.05,0.002,0.525,0.475,1,1,0.1,0.1,0.03,0.5,0.5,6,-1,0.001,0.001,0.01,0,0,0,0,0,0.95,0.05,0,0,0,0,0,60,5475
"23",0.24,9,0.86,0.05,0.002,0.55,0,1,1,0.1,0.1,0.03,0.5,0.5,6,-1,0.001,0.001,0.01,0,0,0,0,0,0.95,0.05,0,0,0,0,0,60,5475
"64",0.24,9,0.86,0.05,0.002,0.55,0.025,1,1,0.1,0.1,0.03,0.5,0.5,6,-1,0.001,0.001,0.01,0,0,0,0,0,0.95,0.05,0,0,0,0,0,60,5475
"105",0.24,9,0.86,0.05,0.002,0.55,0.05,1,1,0.1,0.1,0.03,0.5,0.5,6,-1,0.001,0.001,0.01,0,0,0,0,0,0.95,0.05,0,0,0,0,0,60,5475
"146",0.24,9,0.86,0.05,0.002,0.55,0.075,1,1,0.1,0.1,0.03,0.5,0.5,6,-1,0.001,0.001,0.01,0,0,0,0,0,0.95,0.05,0,0,0,0,0,60,5475
"187",0.24,9,0.86,0.05,0.002,0.55,0.1,1,1,0.1,0.1,0.03,0.5,0.5,6,-1,0.001,0.001,0.01,0,0,0,0,0,0.95,0.05,0,0,0,0,0,60,5475
"228",0.24,9,0.86,0.05,0.002,0.55,0.125,1,1,0.1,0.1,0.03,0.5,0.5,6,-1,0.001,0.001,0.01,0,0,0,0,0,0.95,0.05,0,0,0,0,0,60,5475
"269",0.24,9,0.86,0.05,0.002,0.55,0.15,1,1,0.1,0.1,0.03,0.5,0.5,6,-1,0.001,0.001,0.01,0,0,0,0,0,0.95,0.05,0,0,0,0,0,60,5475
"310",0.24,9,0.86,0.05,0.002,0.55,0.175,1,1,0.1,0.1,0.03,0.5,0.5,6,-1,0.001,0.001,0.01,0,0,0,0,0,0.95,0.05,0,0,0,0,0,60,5475
"351",0.24,9,0.86,0.05,0.002,0.55,0.2,1,1,0.1,0.1,0.03,0.5,0.5,6,-1,0.001,0.001,0.01,0,0,0,0,0,0.95,0.05,0,0,0,0,0,60,5475
"392",0.24,9,0.86,0.05,0.002,0.55,0.225,1,1,0.1,0.1,0.03,0.5,0.5,6,-1,0.001,0.001,0.01,0,0,0,0,0,0.95,0.05,0,0,0,0,0,60,5475
"433",0.24,9,0.86,0.05,0.002,0.55,0.25,1,1,0.1,0.1,0.03,0.5,0.5,6,-1,0.001,0.001,0.01,0,0,0,0,0,0.95,0.05,0,0,0,0,0,60,5475
"474",0.24,9,0.86,0.05,0.002,0.55,0.275,1,1,0.1,0.1,0.03,0.5,0.5,6,-1,0.001,0.001,0.01,0,0,0,0,0,0.95,0.05,0,0,0,0,0,60,5475
"515",0.24,9,0.86,0.05,0.002,0.55,0.3,1,1,0.1,0.1,0.03,0.5,0.5,6,-1,0.001,0.001,0.01,0,0,0,0,0,0.95,0.05,0,0,0,0,0,60,5475
"556",0.24,9,0.86,0.05,0.002,0.55,0.325,1,1,0.1,0.1,0.03,0.5,0.5,6,-1,0.001,0.001,0.01,0,0,0,0,0,0.95,0.05,0,0,0,0,0,60,5475
"597",0.24,9,0.86,0.05,0.002,0.55,0.35,1,1,0.1,0.1,0.03,0.5,0.5,6,-1,0.001,0.001,0.01,0,0,0,0,0,0.95,0.05,0,0,0,0,0,60,5475
"638",0.24,9,0.86,0.05,0.002,0.55,0.375,1,1,0.1,0.1,0.03,0.5,0.5,6,-1,0.001,0.001,0.01,0,0,0,0,0,0.95,0.05,0,0,0,0,0,60,5475
"679",0.24,9,0.86,0.05,0.002,0.55,0.4,1,1,0.1,0.1,0.03,0.5,0.5,6,-1,0.001,0.001,0.01,0,0,0,0,0,0.95,0.05,0,0,0,0,0,60,5475
"720",0.24,9,0.86,0.05,0.002,0.55,0.425,1,1,0.1,0.1,0.03,0.5,0.5,6,-1,0.001,0.001,0.01,0,0,0,0,0,0.95,0.05,0,0,0,0,0,60,5475
"761",0.24,9,0.86,0.05,0.002,0.55,0.45,1,1,0.1,0.1,0.03,0.5,0.5,6,-1,0.001,0.001,0.01,0,0,0,0,0,0.95,0.05,0,0,0,0,0,60,5475
"24",0.24,9,0.86,0.05,0.002,0.575,0,1,1,0.1,0.1,0.03,0.5,0.5,6,-1,0.001,0.001,0.01,0,0,0,0,0,0.95,0.05,0,0,0,0,0,60,5475
"65",0.24,9,0.86,0.05,0.002,0.575,0.025,1,1,0.1,0.1,0.03,0.5,0.5,6,-1,0.001,0.001,0.01,0,0,0,0,0,0.95,0.05,0,0,0,0,0,60,5475
"106",0.24,9,0.86,0.05,0.002,0.575,0.05,1,1,0.1,0.1,0.03,0.5,0.5,6,-1,0.001,0.001,0.01,0,0,0,0,0,0.95,0.05,0,0,0,0,0,60,5475
"147",0.24,9,0.86,0.05,0.002,0.575,0.075,1,1,0.1,0.1,0.03,0.5,0.5,6,-1,0.001,0.001,0.01,0,0,0,0,0,0.95,0.05,0,0,0,0,0,60,5475
"188",0.24,9,0.86,0.05,0.002,0.575,0.1,1,1,0.1,0.1,0.03,0.5,0.5,6,-1,0.001,0.001,0.01,0,0,0,0,0,0.95,0.05,0,0,0,0,0,60,5475
"229",0.24,9,0.86,0.05,0.002,0.575,0.125,1,1,0.1,0.1,0.03,0.5,0.5,6,-1,0.001,0.001,0.01,0,0,0,0,0,0.95,0.05,0,0,0,0,0,60,5475
"270",0.24,9,0.86,0.05,0.002,0.575,0.15,1,1,0.1,0.1,0.03,0.5,0.5,6,-1,0.001,0.001,0.01,0,0,0,0,0,0.95,0.05,0,0,0,0,0,60,5475
"311",0.24,9,0.86,0.05,0.002,0.575,0.175,1,1,0.1,0.1,0.03,0.5,0.5,6,-1,0.001,0.001,0.01,0,0,0,0,0,0.95,0.05,0,0,0,0,0,60,5475
"352",0.24,9,0.86,0.05,0.002,0.575,0.2,1,1,0.1,0.1,0.03,0.5,0.5,6,-1,0.001,0.001,0.01,0,0,0,0,0,0.95,0.05,0,0,0,0,0,60,5475
"393",0.24,9,0.86,0.05,0.002,0.575,0.225,1,1,0.1,0.1,0.03,0.5,0.5,6,-1,0.001,0.001,0.01,0,0,0,0,0,0.95,0.05,0,0,0,0,0,60,5475
"434",0.24,9,0.86,0.05,0.002,0.575,0.25,1,1,0.1,0.1,0.03,0.5,0.5,6,-1,0.001,0.001,0.01,0,0,0,0,0,0.95,0.05,0,0,0,0,0,60,5475
"475",0.24,9,0.86,0.05,0.002,0.575,0.275,1,1,0.1,0.1,0.03,0.5,0.5,6,-1,0.001,0.001,0.01,0,0,0,0,0,0.95,0.05,0,0,0,0,0,60,5475
"516",0.24,9,0.86,0.05,0.002,0.575,0.3,1,1,0.1,0.1,0.03,0.5,0.5,6,-1,0.001,0.001,0.01,0,0,0,0,0,0.95,0.05,0,0,0,0,0,60,5475
"557",0.24,9,0.86,0.05,0.002,0.575,0.325,1,1,0.1,0.1,0.03,0.5,0.5,6,-1,0.001,0.001,0.01,0,0,0,0,0,0.95,0.05,0,0,0,0,0,60,5475
"598",0.24,9,0.86,0.05,0.002,0.575,0.35,1,1,0.1,0.1,0.03,0.5,0.5,6,-1,0.001,0.001,0.01,0,0,0,0,0,0.95,0.05,0,0,0,0,0,60,5475
"639",0.24,9,0.86,0.05,0.002,0.575,0.375,1,1,0.1,0.1,0.03,0.5,0.5,6,-1,0.001,0.001,0.01,0,0,0,0,0,0.95,0.05,0,0,0,0,0,60,5475
"680",0.24,9,0.86,0.05,0.002,0.575,0.4,1,1,0.1,0.1,0.03,0.5,0.5,6,-1,0.001,0.001,0.01,0,0,0,0,0,0.95,0.05,0,0,0,0,0,60,5475
"721",0.24,9,0.86,0.05,0.002,0.575,0.425,1,1,0.1,0.1,0.03,0.5,0.5,6,-1,0.001,0.001,0.01,0,0,0,0,0,0.95,0.05,0,0,0,0,0,60,5475
"25",0.24,9,0.86,0.05,0.002,0.6,0,1,1,0.1,0.1,0.03,0.5,0.5,6,-1,0.001,0.001,0.01,0,0,0,0,0,0.95,0.05,0,0,0,0,0,60,5475
"66",0.24,9,0.86,0.05,0.002,0.6,0.025,1,1,0.1,0.1,0.03,0.5,0.5,6,-1,0.001,0.001,0.01,0,0,0,0,0,0.95,0.05,0,0,0,0,0,60,5475
"107",0.24,9,0.86,0.05,0.002,0.6,0.05,1,1,0.1,0.1,0.03,0.5,0.5,6,-1,0.001,0.001,0.01,0,0,0,0,0,0.95,0.05,0,0,0,0,0,60,5475
"148",0.24,9,0.86,0.05,0.002,0.6,0.075,1,1,0.1,0.1,0.03,0.5,0.5,6,-1,0.001,0.001,0.01,0,0,0,0,0,0.95,0.05,0,0,0,0,0,60,5475
"189",0.24,9,0.86,0.05,0.002,0.6,0.1,1,1,0.1,0.1,0.03,0.5,0.5,6,-1,0.001,0.001,0.01,0,0,0,0,0,0.95,0.05,0,0,0,0,0,60,5475
"230",0.24,9,0.86,0.05,0.002,0.6,0.125,1,1,0.1,0.1,0.03,0.5,0.5,6,-1,0.001,0.001,0.01,0,0,0,0,0,0.95,0.05,0,0,0,0,0,60,5475
"271",0.24,9,0.86,0.05,0.002,0.6,0.15,1,1,0.1,0.1,0.03,0.5,0.5,6,-1,0.001,0.001,0.01,0,0,0,0,0,0.95,0.05,0,0,0,0,0,60,5475
"312",0.24,9,0.86,0.05,0.002,0.6,0.175,1,1,0.1,0.1,0.03,0.5,0.5,6,-1,0.001,0.001,0.01,0,0,0,0,0,0.95,0.05,0,0,0,0,0,60,5475
"353",0.24,9,0.86,0.05,0.002,0.6,0.2,1,1,0.1,0.1,0.03,0.5,0.5,6,-1,0.001,0.001,0.01,0,0,0,0,0,0.95,0.05,0,0,0,0,0,60,5475
"394",0.24,9,0.86,0.05,0.002,0.6,0.225,1,1,0.1,0.1,0.03,0.5,0.5,6,-1,0.001,0.001,0.01,0,0,0,0,0,0.95,0.05,0,0,0,0,0,60,5475
"435",0.24,9,0.86,0.05,0.002,0.6,0.25,1,1,0.1,0.1,0.03,0.5,0.5,6,-1,0.001,0.001,0.01,0,0,0,0,0,0.95,0.05,0,0,0,0,0,60,5475
"476",0.24,9,0.86,0.05,0.002,0.6,0.275,1,1,0.1,0.1,0.03,0.5,0.5,6,-1,0.001,0.001,0.01,0,0,0,0,0,0.95,0.05,0,0,0,0,0,60,5475
"517",0.24,9,0.86,0.05,0.002,0.6,0.3,1,1,0.1,0.1,0.03,0.5,0.5,6,-1,0.001,0.001,0.01,0,0,0,0,0,0.95,0.05,0,0,0,0,0,60,5475
"558",0.24,9,0.86,0.05,0.002,0.6,0.325,1,1,0.1,0.1,0.03,0.5,0.5,6,-1,0.001,0.001,0.01,0,0,0,0,0,0.95,0.05,0,0,0,0,0,60,5475
"599",0.24,9,0.86,0.05,0.002,0.6,0.35,1,1,0.1,0.1,0.03,0.5,0.5,6,-1,0.001,0.001,0.01,0,0,0,0,0,0.95,0.05,0,0,0,0,0,60,5475
"640",0.24,9,0.86,0.05,0.002,0.6,0.375,1,1,0.1,0.1,0.03,0.5,0.5,6,-1,0.001,0.001,0.01,0,0,0,0,0,0.95,0.05,0,0,0,0,0,60,5475
"681",0.24,9,0.86,0.05,0.002,0.6,0.4,1,1,0.1,0.1,0.03,0.5,0.5,6,-1,0.001,0.001,0.01,0,0,0,0,0,0.95,0.05,0,0,0,0,0,60,5475
"26",0.24,9,0.86,0.05,0.002,0.625,0,1,1,0.1,0.1,0.03,0.5,0.5,6,-1,0.001,0.001,0.01,0,0,0,0,0,0.95,0.05,0,0,0,0,0,60,5475
"67",0.24,9,0.86,0.05,0.002,0.625,0.025,1,1,0.1,0.1,0.03,0.5,0.5,6,-1,0.001,0.001,0.01,0,0,0,0,0,0.95,0.05,0,0,0,0,0,60,5475
"108",0.24,9,0.86,0.05,0.002,0.625,0.05,1,1,0.1,0.1,0.03,0.5,0.5,6,-1,0.001,0.001,0.01,0,0,0,0,0,0.95,0.05,0,0,0,0,0,60,5475
"149",0.24,9,0.86,0.05,0.002,0.625,0.075,1,1,0.1,0.1,0.03,0.5,0.5,6,-1,0.001,0.001,0.01,0,0,0,0,0,0.95,0.05,0,0,0,0,0,60,5475
"190",0.24,9,0.86,0.05,0.002,0.625,0.1,1,1,0.1,0.1,0.03,0.5,0.5,6,-1,0.001,0.001,0.01,0,0,0,0,0,0.95,0.05,0,0,0,0,0,60,5475
"231",0.24,9,0.86,0.05,0.002,0.625,0.125,1,1,0.1,0.1,0.03,0.5,0.5,6,-1,0.001,0.001,0.01,0,0,0,0,0,0.95,0.05,0,0,0,0,0,60,5475
"272",0.24,9,0.86,0.05,0.002,0.625,0.15,1,1,0.1,0.1,0.03,0.5,0.5,6,-1,0.001,0.001,0.01,0,0,0,0,0,0.95,0.05,0,0,0,0,0,60,5475
"313",0.24,9,0.86,0.05,0.002,0.625,0.175,1,1,0.1,0.1,0.03,0.5,0.5,6,-1,0.001,0.001,0.01,0,0,0,0,0,0.95,0.05,0,0,0,0,0,60,5475
"354",0.24,9,0.86,0.05,0.002,0.625,0.2,1,1,0.1,0.1,0.03,0.5,0.5,6,-1,0.001,0.001,0.01,0,0,0,0,0,0.95,0.05,0,0,0,0,0,60,5475
"395",0.24,9,0.86,0.05,0.002,0.625,0.225,1,1,0.1,0.1,0.03,0.5,0.5,6,-1,0.001,0.001,0.01,0,0,0,0,0,0.95,0.05,0,0,0,0,0,60,5475
"436",0.24,9,0.86,0.05,0.002,0.625,0.25,1,1,0.1,0.1,0.03,0.5,0.5,6,-1,0.001,0.001,0.01,0,0,0,0,0,0.95,0.05,0,0,0,0,0,60,5475
"477",0.24,9,0.86,0.05,0.002,0.625,0.275,1,1,0.1,0.1,0.03,0.5,0.5,6,-1,0.001,0.001,0.01,0,0,0,0,0,0.95,0.05,0,0,0,0,0,60,5475
"518",0.24,9,0.86,0.05,0.002,0.625,0.3,1,1,0.1,0.1,0.03,0.5,0.5,6,-1,0.001,0.001,0.01,0,0,0,0,0,0.95,0.05,0,0,0,0,0,60,5475
"559",0.24,9,0.86,0.05,0.002,0.625,0.325,1,1,0.1,0.1,0.03,0.5,0.5,6,-1,0.001,0.001,0.01,0,0,0,0,0,0.95,0.05,0,0,0,0,0,60,5475
"600",0.24,9,0.86,0.05,0.002,0.625,0.35,1,1,0.1,0.1,0.03,0.5,0.5,6,-1,0.001,0.001,0.01,0,0,0,0,0,0.95,0.05,0,0,0,0,0,60,5475
"641",0.24,9,0.86,0.05,0.002,0.625,0.375,1,1,0.1,0.1,0.03,0.5,0.5,6,-1,0.001,0.001,0.01,0,0,0,0,0,0.95,0.05,0,0,0,0,0,60,5475
"27",0.24,9,0.86,0.05,0.002,0.65,0,1,1,0.1,0.1,0.03,0.5,0.5,6,-1,0.001,0.001,0.01,0,0,0,0,0,0.95,0.05,0,0,0,0,0,60,5475
"68",0.24,9,0.86,0.05,0.002,0.65,0.025,1,1,0.1,0.1,0.03,0.5,0.5,6,-1,0.001,0.001,0.01,0,0,0,0,0,0.95,0.05,0,0,0,0,0,60,5475
"109",0.24,9,0.86,0.05,0.002,0.65,0.05,1,1,0.1,0.1,0.03,0.5,0.5,6,-1,0.001,0.001,0.01,0,0,0,0,0,0.95,0.05,0,0,0,0,0,60,5475
"150",0.24,9,0.86,0.05,0.002,0.65,0.075,1,1,0.1,0.1,0.03,0.5,0.5,6,-1,0.001,0.001,0.01,0,0,0,0,0,0.95,0.05,0,0,0,0,0,60,5475
"191",0.24,9,0.86,0.05,0.002,0.65,0.1,1,1,0.1,0.1,0.03,0.5,0.5,6,-1,0.001,0.001,0.01,0,0,0,0,0,0.95,0.05,0,0,0,0,0,60,5475
"232",0.24,9,0.86,0.05,0.002,0.65,0.125,1,1,0.1,0.1,0.03,0.5,0.5,6,-1,0.001,0.001,0.01,0,0,0,0,0,0.95,0.05,0,0,0,0,0,60,5475
"273",0.24,9,0.86,0.05,0.002,0.65,0.15,1,1,0.1,0.1,0.03,0.5,0.5,6,-1,0.001,0.001,0.01,0,0,0,0,0,0.95,0.05,0,0,0,0,0,60,5475
"314",0.24,9,0.86,0.05,0.002,0.65,0.175,1,1,0.1,0.1,0.03,0.5,0.5,6,-1,0.001,0.001,0.01,0,0,0,0,0,0.95,0.05,0,0,0,0,0,60,5475
"355",0.24,9,0.86,0.05,0.002,0.65,0.2,1,1,0.1,0.1,0.03,0.5,0.5,6,-1,0.001,0.001,0.01,0,0,0,0,0,0.95,0.05,0,0,0,0,0,60,5475
"396",0.24,9,0.86,0.05,0.002,0.65,0.225,1,1,0.1,0.1,0.03,0.5,0.5,6,-1,0.001,0.001,0.01,0,0,0,0,0,0.95,0.05,0,0,0,0,0,60,5475
"437",0.24,9,0.86,0.05,0.002,0.65,0.25,1,1,0.1,0.1,0.03,0.5,0.5,6,-1,0.001,0.001,0.01,0,0,0,0,0,0.95,0.05,0,0,0,0,0,60,5475
"478",0.24,9,0.86,0.05,0.002,0.65,0.275,1,1,0.1,0.1,0.03,0.5,0.5,6,-1,0.001,0.001,0.01,0,0,0,0,0,0.95,0.05,0,0,0,0,0,60,5475
"519",0.24,9,0.86,0.05,0.002,0.65,0.3,1,1,0.1,0.1,0.03,0.5,0.5,6,-1,0.001,0.001,0.01,0,0,0,0,0,0.95,0.05,0,0,0,0,0,60,5475
"560",0.24,9,0.86,0.05,0.002,0.65,0.325,1,1,0.1,0.1,0.03,0.5,0.5,6,-1,0.001,0.001,0.01,0,0,0,0,0,0.95,0.05,0,0,0,0,0,60,5475
"601",0.24,9,0.86,0.05,0.002,0.65,0.35,1,1,0.1,0.1,0.03,0.5,0.5,6,-1,0.001,0.001,0.01,0,0,0,0,0,0.95,0.05,0,0,0,0,0,60,5475
"28",0.24,9,0.86,0.05,0.002,0.675,0,1,1,0.1,0.1,0.03,0.5,0.5,6,-1,0.001,0.001,0.01,0,0,0,0,0,0.95,0.05,0,0,0,0,0,60,5475
"69",0.24,9,0.86,0.05,0.002,0.675,0.025,1,1,0.1,0.1,0.03,0.5,0.5,6,-1,0.001,0.001,0.01,0,0,0,0,0,0.95,0.05,0,0,0,0,0,60,5475
"110",0.24,9,0.86,0.05,0.002,0.675,0.05,1,1,0.1,0.1,0.03,0.5,0.5,6,-1,0.001,0.001,0.01,0,0,0,0,0,0.95,0.05,0,0,0,0,0,60,5475
"151",0.24,9,0.86,0.05,0.002,0.675,0.075,1,1,0.1,0.1,0.03,0.5,0.5,6,-1,0.001,0.001,0.01,0,0,0,0,0,0.95,0.05,0,0,0,0,0,60,5475
"192",0.24,9,0.86,0.05,0.002,0.675,0.1,1,1,0.1,0.1,0.03,0.5,0.5,6,-1,0.001,0.001,0.01,0,0,0,0,0,0.95,0.05,0,0,0,0,0,60,5475
"233",0.24,9,0.86,0.05,0.002,0.675,0.125,1,1,0.1,0.1,0.03,0.5,0.5,6,-1,0.001,0.001,0.01,0,0,0,0,0,0.95,0.05,0,0,0,0,0,60,5475
"274",0.24,9,0.86,0.05,0.002,0.675,0.15,1,1,0.1,0.1,0.03,0.5,0.5,6,-1,0.001,0.001,0.01,0,0,0,0,0,0.95,0.05,0,0,0,0,0,60,5475
"315",0.24,9,0.86,0.05,0.002,0.675,0.175,1,1,0.1,0.1,0.03,0.5,0.5,6,-1,0.001,0.001,0.01,0,0,0,0,0,0.95,0.05,0,0,0,0,0,60,5475
"356",0.24,9,0.86,0.05,0.002,0.675,0.2,1,1,0.1,0.1,0.03,0.5,0.5,6,-1,0.001,0.001,0.01,0,0,0,0,0,0.95,0.05,0,0,0,0,0,60,5475
"397",0.24,9,0.86,0.05,0.002,0.675,0.225,1,1,0.1,0.1,0.03,0.5,0.5,6,-1,0.001,0.001,0.01,0,0,0,0,0,0.95,0.05,0,0,0,0,0,60,5475
"438",0.24,9,0.86,0.05,0.002,0.675,0.25,1,1,0.1,0.1,0.03,0.5,0.5,6,-1,0.001,0.001,0.01,0,0,0,0,0,0.95,0.05,0,0,0,0,0,60,5475
"479",0.24,9,0.86,0.05,0.002,0.675,0.275,1,1,0.1,0.1,0.03,0.5,0.5,6,-1,0.001,0.001,0.01,0,0,0,0,0,0.95,0.05,0,0,0,0,0,60,5475
"520",0.24,9,0.86,0.05,0.002,0.675,0.3,1,1,0.1,0.1,0.03,0.5,0.5,6,-1,0.001,0.001,0.01,0,0,0,0,0,0.95,0.05,0,0,0,0,0,60,5475
"561",0.24,9,0.86,0.05,0.002,0.675,0.325,1,1,0.1,0.1,0.03,0.5,0.5,6,-1,0.001,0.001,0.01,0,0,0,0,0,0.95,0.05,0,0,0,0,0,60,5475
"29",0.24,9,0.86,0.05,0.002,0.7,0,1,1,0.1,0.1,0.03,0.5,0.5,6,-1,0.001,0.001,0.01,0,0,0,0,0,0.95,0.05,0,0,0,0,0,60,5475
"70",0.24,9,0.86,0.05,0.002,0.7,0.025,1,1,0.1,0.1,0.03,0.5,0.5,6,-1,0.001,0.001,0.01,0,0,0,0,0,0.95,0.05,0,0,0,0,0,60,5475
"111",0.24,9,0.86,0.05,0.002,0.7,0.05,1,1,0.1,0.1,0.03,0.5,0.5,6,-1,0.001,0.001,0.01,0,0,0,0,0,0.95,0.05,0,0,0,0,0,60,5475
"152",0.24,9,0.86,0.05,0.002,0.7,0.075,1,1,0.1,0.1,0.03,0.5,0.5,6,-1,0.001,0.001,0.01,0,0,0,0,0,0.95,0.05,0,0,0,0,0,60,5475
"193",0.24,9,0.86,0.05,0.002,0.7,0.1,1,1,0.1,0.1,0.03,0.5,0.5,6,-1,0.001,0.001,0.01,0,0,0,0,0,0.95,0.05,0,0,0,0,0,60,5475
"234",0.24,9,0.86,0.05,0.002,0.7,0.125,1,1,0.1,0.1,0.03,0.5,0.5,6,-1,0.001,0.001,0.01,0,0,0,0,0,0.95,0.05,0,0,0,0,0,60,5475
"275",0.24,9,0.86,0.05,0.002,0.7,0.15,1,1,0.1,0.1,0.03,0.5,0.5,6,-1,0.001,0.001,0.01,0,0,0,0,0,0.95,0.05,0,0,0,0,0,60,5475
"316",0.24,9,0.86,0.05,0.002,0.7,0.175,1,1,0.1,0.1,0.03,0.5,0.5,6,-1,0.001,0.001,0.01,0,0,0,0,0,0.95,0.05,0,0,0,0,0,60,5475
"357",0.24,9,0.86,0.05,0.002,0.7,0.2,1,1,0.1,0.1,0.03,0.5,0.5,6,-1,0.001,0.001,0.01,0,0,0,0,0,0.95,0.05,0,0,0,0,0,60,5475
"398",0.24,9,0.86,0.05,0.002,0.7,0.225,1,1,0.1,0.1,0.03,0.5,0.5,6,-1,0.001,0.001,0.01,0,0,0,0,0,0.95,0.05,0,0,0,0,0,60,5475
"439",0.24,9,0.86,0.05,0.002,0.7,0.25,1,1,0.1,0.1,0.03,0.5,0.5,6,-1,0.001,0.001,0.01,0,0,0,0,0,0.95,0.05,0,0,0,0,0,60,5475
"480",0.24,9,0.86,0.05,0.002,0.7,0.275,1,1,0.1,0.1,0.03,0.5,0.5,6,-1,0.001,0.001,0.01,0,0,0,0,0,0.95,0.05,0,0,0,0,0,60,5475
"521",0.24,9,0.86,0.05,0.002,0.7,0.3,1,1,0.1,0.1,0.03,0.5,0.5,6,-1,0.001,0.001,0.01,0,0,0,0,0,0.95,0.05,0,0,0,0,0,60,5475
"30",0.24,9,0.86,0.05,0.002,0.725,0,1,1,0.1,0.1,0.03,0.5,0.5,6,-1,0.001,0.001,0.01,0,0,0,0,0,0.95,0.05,0,0,0,0,0,60,5475
"71",0.24,9,0.86,0.05,0.002,0.725,0.025,1,1,0.1,0.1,0.03,0.5,0.5,6,-1,0.001,0.001,0.01,0,0,0,0,0,0.95,0.05,0,0,0,0,0,60,5475
"112",0.24,9,0.86,0.05,0.002,0.725,0.05,1,1,0.1,0.1,0.03,0.5,0.5,6,-1,0.001,0.001,0.01,0,0,0,0,0,0.95,0.05,0,0,0,0,0,60,5475
"153",0.24,9,0.86,0.05,0.002,0.725,0.075,1,1,0.1,0.1,0.03,0.5,0.5,6,-1,0.001,0.001,0.01,0,0,0,0,0,0.95,0.05,0,0,0,0,0,60,5475
"194",0.24,9,0.86,0.05,0.002,0.725,0.1,1,1,0.1,0.1,0.03,0.5,0.5,6,-1,0.001,0.001,0.01,0,0,0,0,0,0.95,0.05,0,0,0,0,0,60,5475
"235",0.24,9,0.86,0.05,0.002,0.725,0.125,1,1,0.1,0.1,0.03,0.5,0.5,6,-1,0.001,0.001,0.01,0,0,0,0,0,0.95,0.05,0,0,0,0,0,60,5475
"276",0.24,9,0.86,0.05,0.002,0.725,0.15,1,1,0.1,0.1,0.03,0.5,0.5,6,-1,0.001,0.001,0.01,0,0,0,0,0,0.95,0.05,0,0,0,0,0,60,5475
"317",0.24,9,0.86,0.05,0.002,0.725,0.175,1,1,0.1,0.1,0.03,0.5,0.5,6,-1,0.001,0.001,0.01,0,0,0,0,0,0.95,0.05,0,0,0,0,0,60,5475
"358",0.24,9,0.86,0.05,0.002,0.725,0.2,1,1,0.1,0.1,0.03,0.5,0.5,6,-1,0.001,0.001,0.01,0,0,0,0,0,0.95,0.05,0,0,0,0,0,60,5475
"399",0.24,9,0.86,0.05,0.002,0.725,0.225,1,1,0.1,0.1,0.03,0.5,0.5,6,-1,0.001,0.001,0.01,0,0,0,0,0,0.95,0.05,0,0,0,0,0,60,5475
"440",0.24,9,0.86,0.05,0.002,0.725,0.25,1,1,0.1,0.1,0.03,0.5,0.5,6,-1,0.001,0.001,0.01,0,0,0,0,0,0.95,0.05,0,0,0,0,0,60,5475
"481",0.24,9,0.86,0.05,0.002,0.725,0.275,1,1,0.1,0.1,0.03,0.5,0.5,6,-1,0.001,0.001,0.01,0,0,0,0,0,0.95,0.05,0,0,0,0,0,60,5475
"31",0.24,9,0.86,0.05,0.002,0.75,0,1,1,0.1,0.1,0.03,0.5,0.5,6,-1,0.001,0.001,0.01,0,0,0,0,0,0.95,0.05,0,0,0,0,0,60,5475
"72",0.24,9,0.86,0.05,0.002,0.75,0.025,1,1,0.1,0.1,0.03,0.5,0.5,6,-1,0.001,0.001,0.01,0,0,0,0,0,0.95,0.05,0,0,0,0,0,60,5475
"113",0.24,9,0.86,0.05,0.002,0.75,0.05,1,1,0.1,0.1,0.03,0.5,0.5,6,-1,0.001,0.001,0.01,0,0,0,0,0,0.95,0.05,0,0,0,0,0,60,5475
"154",0.24,9,0.86,0.05,0.002,0.75,0.075,1,1,0.1,0.1,0.03,0.5,0.5,6,-1,0.001,0.001,0.01,0,0,0,0,0,0.95,0.05,0,0,0,0,0,60,5475
