,beta,d,d_i,a_c,a_i,p_A,p_B,c1,c2,f_cA,f_cB,f_clast,f_isA,f_iaA,r,ts,s_1,s_2,p_c,f_ib_last,cycl_period,alt_cycl_period,cycling,rdt,pS0,pCs0,pCa0,pCb0,pIs0,pIa0,pIb0,N,t
31,0.111,9,0.86,0.05,0.002,0.399,0,1,1,0.1,0.1,0.03,0.5,0.5,6,3,0.001,0.001,0.01,0,0,0,0,0,0.95,0.05,0,0,0,0,0,60,5475
32,0.111,9,0.86,0.05,0.002,0.399,0.2,1,1,0.1,0.1,0.03,0.5,0.5,6,3,0.001,0.001,0.01,0,0,0,0,0,0.95,0.05,0,0,0,0,0,60,5475
33,0.111,9,0.86,0.05,0.002,0.399,0.4,1,1,0.1,0.1,0.03,0.5,0.5,6,3,0.001,0.001,0.01,0,0,0,0,0,0.95,0.05,0,0,0,0,0,60,5475
34,0.111,9,0.86,0.05,0.002,0.399,0.6,1,1,0.1,0.1,0.03,0.5,0.5,6,3,0.001,0.001,0.01,0,0,0,0,0,0.95,0.05,0,0,0,0,0,60,5475
35,0.111,9,0.86,0.05,0.002,0.399,0.8,1,1,0.1,0.1,0.03,0.5,0.5,6,3,0.001,0.001,0.01,0,0,0,0,0,0.95,0.05,0,0,0,0,0,60,5475
36,0.111,9,0.86,0.05,0.002,0.399,0.08,0.2,1,0.1,0.1,0.03,0.5,0.5,6,3,0.001,0.001,0.01,0,0,0,0,0,0.95,0.05,0,0,0,0,0,60,5475
37,0.111,9,0.86,0.05,0.002,0.399,0.08,0.4,1,0.1,0.1,0.03,0.5,0.5,6,3,0.001,0.001,0.01,0,0,0,0,0,0.95,0.05,0,0,0,0,0,60,5475
38,0.111,9,0.86,0.05,0.002,0.399,0.08,0.6,1,0.1,0.1,0.03,0.5,0.5,6,3,0.001,0.001,0.01,0,0,0,0,0,0.95,0.05,0,0,0,0,0,60,5475
39,0.111,9,0.86,0.05,0.002,0.399,0.08,0.8,1,0.1,0.1,0.03,0.5,0.5,6,3,0.001,0.001,0.01,0,0,0,0,0,0.95,0.05,0,0,0,0,0,60,5475
40,0.111,9,0.86,0.05,0.002,0.399,0.08,1,1,0.1,0.1,0.03,0.5,0.5,6,3,0.001,0.001,0.01,0,0,0,0,0,0.95,0.05,0,0,0,0,0,60,5475
41,0.111,9,0.86,0.05,0.002,0.399,0.08,1,0.2,0.1,0.1,0.03,0.5,0.5,6,3,0.001,0.001,0.01,0,0,0,0,0,0.95,0.05,0,0,0,0,0,60,5475
42,0.111,9,0.86,0.05,0.002,0.399,0.08,1,0.4,0.1,0.1,0.03,0.5,0.5,6,3,0.001,0.001,0.01,0,0,0,0,0,0.95,0.05,0,0,0,0,0,60,5475
43,0.111,9,0.86,0.05,0.002,0.399,0.08,1,0.6,0.1,0.1,0.03,0.5,0.5,6,3,0.001,0.001,0.01,0,0,0,0,0,0.95,0.05,0,0,0,0,0,60,5475
44,0.111,9,0.86,0.05,0.002,0.399,0.08,1,0.8,0.1,0.1,0.03,0.5,0.5,6,3,0.001,0.001,0.01,0,0,0,0,0,0.95,0.05,0,0,0,0,0,60,5475
45,0.111,9,0.86,0.05,0.002,0.399,0.08,1,1,0.1,0.1,0.03,0.5,0.5,6,3,0.001,0.001,0.01,0,0,0,0,0,0.95,0.05,0,0,0,0,0,60,5475
46,0.111,9,0.86,0.05,0.002,0.399,0.08,1,1,0,0.1,0.03,0.5,0.5,6,3,0.001,0.001,0.01,0,0,0,0,0,0.95,0.05,0,0,0,0,0,60,5475
47,0.111,9,0.86,0.05,0.002,0.399,0.08,1,1,0.1,0.1,0.03,0.5,0.5,6,3,0.001,0.001,0.01,0,0,0,0,0,0.95,0.05,0,0,0,0,0,60,5475
48,0.111,9,0.86,0.05,0.002,0.399,0.08,1,1,0.2,0.1,0.03,0.5,0.5,6,3,0.001,0.001,0.01,0,0,0,0,0,0.95,0.05,0,0,0,0,0,60,5475
49,0.111,9,0.86,0.05,0.002,0.399,0.08,1,1,0.3,0.1,0.03,0.5,0.5,6,3,0.001,0.001,0.01,0,0,0,0,0,0.95,0.05,0,0,0,0,0,60,5475
50,0.111,9,0.86,0.05,0.002,0.399,0.08,1,1,0.4,0.1,0.03,0.5,0.5,6,3,0.001,0.001,0.01,0,0,0,0,0,0.95,0.05,0,0,0,0,0,60,5475
51,0.111,9,0.86,0.05,0.002,0.399,0.08,1,1,0.1,0,0.03,0.5,0.5,6,3,0.001,0.001,0.01,0,0,0,0,0,0.95,0.05,0,0,0,0,0,60,5475
52,0.111,9,0.86,0.05,0.002,0.399,0.08,1,1,0.1,0.1,0.03,0.5,0.5,6,3,0.001,0.001,0.01,0,0,0,0,0,0.95,0.05,0,0,0,0,0,60,5475
53,0.111,9,0.86,0.05,0.002,0.399,0.08,1,1,0.1,0.2,0.03,0.5,0.5,6,3,0.001,0.001,0.01,0,0,0,0,0,0.95,0.05,0,0,0,0,0,60,5475
54,0.111,9,0.86,0.05,0.002,0.399,0.08,1,1,0.1,0.3,0.03,0.5,0.5,6,3,0.001,0.001,0.01,0,0,0,0,0,0.95,0.05,0,0,0,0,0,60,5475
55,0.111,9,0.86,0.05,0.002,0.399,0.08,1,1,0.1,0.4,0.03,0.5,0.5,6,3,0.001,0.001,0.01,0,0,0,0,0,0.95,0.05,0,0,0,0,0,60,5475
56,0.111,9,0.86,0.05,0.002,0.399,0.08,1,1,0.1,0.1,0,0.5,0.5,6,3,0.001,0.001,0.01,0,0,0,0,0,0.95,0.05,0,0,0,0,0,60,5475
57,0.111,9,0.86,0.05,0.002,0.399,0.08,1,1,0.1,0.1,0.25,0.5,0.5,6,3,0.001,0.001,0.01,0,0,0,0,0,0.95,0.05,0,0,0,0,0,60,5475
58,0.111,9,0.86,0.05,0.002,0.399,0.08,1,1,0.1,0.1,0.5,0.5,0.5,6,3,0.001,0.001,0.01,0,0,0,0,0,0.95,0.05,0,0,0,0,0,60,5475
59,0.111,9,0.86,0.05,0.002,0.399,0.08,1,1,0.1,0.1,0.75,0.5,0.5,6,3,0.001,0.001,0.01,0,0,0,0,0,0.95,0.05,0,0,0,0,0,60,5475
60,0.111,9,0.86,0.05,0.002,0.399,0.08,1,1,0.1,0.1,1,0.5,0.5,6,3,0.001,0.001,0.01,0,0,0,0,0,0.95,0.05,0,0,0,0,0,60,5475
61,0.111,9,0.86,0.05,0.002,0.399,0.08,1,1,0.1,0.1,0.03,0.5,0.5,6,3,0.001,0.001,0.01,0,0,0,0,0,0.95,0.05,0,0,0,0,0,60,5475
62,0.111,9,0.86,0.05,0.002,0.399,0.08,1,1,0.1,0.1,0.03,0.5,0.5,6,3,0.001,0.001,0.01,0,0,0,0,0,0.95,0.05,0,0,0,0,0,60,5475
63,0.111,9,0.86,0.05,0.002,0.399,0.08,1,1,0.1,0.1,0.03,0.5,0.5,6,3,0.001,0.001,0.01,0,0,0,0,0,0.95,0.05,0,0,0,0,0,60,5475
64,0.111,9,0.86,0.05,0.002,0.399,0.08,1,1,0.1,0.1,0.03,0.5,0.5,6,3,0.001,0.001,0.01,0,0,0,0,0,0.95,0.05,0,0,0,0,0,60,5475
65,0.111,9,0.86,0.05,0.002,0.399,0.08,1,1,0.1,0.1,0.03,0.5,0.5,6,3,0.001,0.001,0.01,0,0,0,0,0,0.95,0.05,0,0,0,0,0,60,5475
66,0.111,9,0.86,0.05,0.002,0.399,0.08,1,1,0.1,0.1,0.03,0.5,0.5,6,3,0.001,0.001,0.01,0,0,0,0,0,0.95,0.05,0,0,0,0,0,60,5475
67,0.111,9,0.86,0.05,0.002,0.399,0.08,1,1,0.1,0.1,0.03,0.5,0.5,6,3,0.001,0.001,0.01,0,0,0,0,0,0.95,0.05,0,0,0,0,0,60,5475
68,0.111,9,0.86,0.05,0.002,0.399,0.08,1,1,0.1,0.1,0.03,0.5,0.5,6,3,0.001,0.001,0.01,0,0,0,0,0,0.95,0.05,0,0,0,0,0,60,5475
